892,271
879,384
694,405
726,244
892,767
902,685
696,630
671,741
883,553
891,472
769,443
766,531
710,96
669,201
727,225
786,126
492,93
495,51
680,55
672,159
160,782
110,760
111,693
346,738
131,473
129,548
185,549
224,464
136,614
134,668
216,668
284,562
260,653
246,742
316,705
316,673
353,588
353,721
455,684
455,598
303,492
302,589
398,528
380,470
241,436
235,518
281,499
309,422
141,369
144,455
248,415
253,375
395,359
420,487
551,458
532,374
510,510
498,617
594,617
614,557
485,667
482,767
597,738
605,688
632,447
626,553
707,553
715,502
642,606
667,720
733,706
731,613
541,601
541,670
627,668
646,621
419,538
416,616
524,595
521,555
460,433
478,515
613,467
602,425
491,240
494,344
595,348
650,271
359,233
355,310
464,309
463,198
142,250
142,314
233,319
248,233
215,109
264,174
351,174
407,105
439,109
444,154
543,169
544,138
607,357
609,422
661,411
670,363
292,309
282,393
367,427
401,325
529,185
538,231
637,231
636,180
378,172
386,230
431,228
431,182
385,54
301,62
317,96
420,92

